consumer_id,per_week_purchase_total,per_week_unique_ips,per_week_update_account,per_week_payment_method_change
985,211.62,1.0,1.0,1.0
986,,1.0,6.0,0.0
987,26.28,1.0,,0.0
988,16.56,1.0,4.0,3.0
989,0.0,1.0,,0.0
990,33.3,1.0,5.0,0.0
991,44.49,1.0,2.0,1.0
993,114.4,2.0,2.0,3.0
994,,1.0,,0.0
996,4.6,2.0,1.0,1.0
997,20.48,1.0,,0.0
998,28.07,1.0,,0.0
999,0.0,2.0,3.0,0.0
1000,,1.0,3.0,0.0
1002,0.0,2.0,2.0,0.0
1003,,2.0,,0.0
1004,55.473125567350365,3.0,,0.0
1005,0.0,1.0,,0.0
1006,,3.0,2.0,0.0
1007,33.68,1.0,,0.0
1009,66.99,1.0,,0.0
1010,26.389610072733458,1.0,7.0,1.0
1011,23.99,1.0,1.0,0.0
1012,18.34,1.0,,0.0
1013,0.0,1.0,2.0,0.0
1014,0.0,2.0,2.0,0.0
1015,0.0,2.0,2.0,0.0
1016,52.02,1.0,3.0,0.0
1017,22.91,1.0,,0.0
1018,,1.0,1.0,0.0
1019,0.0,1.0,1.0,0.0
1020,34.85,2.0,,0.0
1021,43.28,1.0,1.0,0.0
1024,,1.0,1.0,0.0
1025,19.98,2.0,1.0,0.0
1027,14.01,1.0,,0.0
1028,,2.0,,0.0
1029,0.0,1.0,,0.0
1030,14.68,1.0,,0.0
1032,0.0,1.0,1.0,0.0
1033,47.15,1.0,,0.0
1034,45.91,9.0,13.0,12.0
1035,0.0,1.0,1.0,0.0
1036,201.29,2.0,,0.0
1037,,1.0,2.0,0.0
1038,,1.0,,0.0
1039,28.71,1.0,,0.0
1041,,1.0,1.0,0.0
1043,186.29,7.0,27.0,2.0
1044,,1.0,,0.0
1046,,3.0,,0.0
1047,60.73,2.0,14.0,2.0
1048,25.39,1.0,21.0,9.0
1049,0.0,1.0,,0.0
1050,,2.0,5.0,0.0
1051,21.59,1.0,1.0,0.0
1052,35.66,1.0,,0.0
1054,29.15,1.0,,0.0
1055,81.75999999999998,3.0,,0.0
1056,54.94,3.0,1.0,0.0
1057,79.09,1.0,,1.0
1058,,1.0,,0.0
1059,,1.0,,0.0
1060,,1.0,,0.0
1063,,1.0,1.0,0.0
1064,28.35,1.0,,0.0
1065,28.18,1.0,,0.0
1066,39.72,2.0,2.0,0.0
1067,39.5,1.0,1.0,0.0
1068,,2.0,,1.0
1069,20.03,3.0,18.0,14.0
1071,,1.0,1.0,0.0
1073,54.09,1.0,,0.0
1074,0.0,1.0,,0.0
1075,172.93,2.0,7.0,0.0
1076,63.5,1.0,,0.0
1078,21.8,2.0,,0.0
1079,,1.0,6.0,0.0
1080,,1.0,,0.0
1081,120.56,2.0,30.0,29.0
1082,,1.0,,0.0
1083,4.33,2.0,1.0,1.0
1084,16.37,1.0,1.0,0.0
1085,10.41,1.0,,0.0
1086,19.23,2.0,,0.0
1087,,1.0,,0.0
1088,,1.0,1.0,0.0
1089,,1.0,,0.0
1091,0.0,1.0,1.0,0.0
1093,365.65,2.0,1.0,0.0
1094,26.86,1.0,,0.0
1096,,3.0,2.0,1.0
1097,17.12,3.0,2.0,0.0
1098,59.32,1.0,,0.0
1099,28.45,1.0,,0.0
1100,17.95,2.0,,0.0
1101,,1.0,1.0,0.0
1102,33.68,1.0,,0.0
